text_en,text_sbert
Diagonal road connecting bendre circle and BBMP yoga hall next to cosmo club garage which runs opposite govt nature cure hospital is unsafe in the early morning due to street lights not working.,diagonal road connecting bendre circle and bbmp yoga hall next to cosmo club garage which runs opposite govt nature cure hospital is unsafe in the early morning due to street lights not working.
There is big hole on the road where people will be coming very fast and couldn't control the vehicle. please fix this issue,there is big hole on the road where people will be coming very fast and couldn't control the vehicle. please fix this issue
A lot of garbage is accumulated on harlur road near water body. this is also burned sometimes causing serious pollution.,a lot of garbage is accumulated on harlur road near water body. this is also burned sometimes causing serious pollution.
Road clearing material is just left. This place can be used to plant trees,road clearing material is just left. this place can be used to plant trees
"There is a water supply vendor R N Water supply who comes to M 135, 9th A main, LIC Colony,  almost everyday . The water supply vendor never wears a mask . Pics attached- 9945396968 , 9483506968. while asked why he does not wear a mask, he said he does not have one. he comes and stands right in front of our house and it is a possibility of great infection to us","there is a water supply vendor r n water supply who comes to m 135, 9th a main, lic colony, almost everyday . the water supply vendor never wears a mask . pics attached- 9945396968 , 9483506968. while asked why he does not wear a mask, he said he does not have one. he comes and stands right in front of our house and it is a possibility of great infection to us"
They charge above mrp for milk and curd products...for 10 rs milk they charge curd,they charge above mrp for milk and curd products...for 10 rs milk they charge curd
"Now most of the by lanes has been asphalted though the quality is very poor, however the 5th cross road with the drainage is in very bad shape. Repeated pleas to the Corporator has no results.

Also this is one of the worst layout with garbage strewn in the 2 main roads connecting the old airport road & in the by lanes, no sapling planted, quality of road laid out is poor etc.,  Though we hear big promises from the Corporator, work moves in snails speed.  The condition of this layout has been like this for past several years.","now most of the by lanes has been asphalted though the quality is very poor, however the 5th cross road with the drainage is in very bad shape. repeated pleas to the corporator has no results. also this is one of the worst layout with garbage strewn in the 2 main roads connecting the old airport road & in the by lanes, no sapling planted, quality of road laid out is poor etc., though we hear big promises from the corporator, work moves in snails speed. the condition of this layout has been like this for past several years."
Complete road garbage is accumulated on 9th cross in front of houses and not cleared .. Several requests to the cleaning lady goes unheard . She accumulates dry leaves in front of the houses and burns it which causes a lot of disturbances.,complete road garbage is accumulated on 9th cross in front of houses and not cleared .. several requests to the cleaning lady goes unheard . she accumulates dry leaves in front of the houses and burns it which causes a lot of disturbances.
Stray Dogs have become an issue chasing kids and elders while walking,stray dogs have become an issue chasing kids and elders while walking
"To many mosquitoes to take... just growing day by day. Such big and huge in size, kids are suffering from malaria due to this.","to many mosquitoes to take... just growing day by day. such big and huge in size, kids are suffering from malaria due to this."
BBMP contractors have blocked the drainage at the end of street and all the gutter waste get accumulated and will block drainage.And during the rain water will be spell outside and this leads to health hazards.,bbmp contractors have blocked the drainage at the end of street and all the gutter waste get accumulated and will block drainage.and during the rain water will be spell outside and this leads to health hazards.
Garbage is dumped on both sides of the streets openly without any garbage cans. Stray animals keep feeding on it. The street looks very dirty and unhygienic. Please do the needful.,garbage is dumped on both sides of the streets openly without any garbage cans. stray animals keep feeding on it. the street looks very dirty and unhygienic. please do the needful.
"There are about 6-7 stray dogs roaming in this road. Every night they keep barking & disturbing residents. They also climb on cars parked on road & damage car covers, car antenna. They chase 2 wheelers thereby causing risk & danger. Please arrange to catch them.","there are about 6-7 stray dogs roaming in this road. every night they keep barking & disturbing residents. they also climb on cars parked on road & damage car covers, car antenna. they chase 2 wheelers thereby causing risk & danger. please arrange to catch them."
The road(on footpath) outside this apartments is strewn with garbage . miscreants dump garbage on either side of the entrance of the apartment.please help in clearing this and also to stop it from happening again.,the road(on footpath) outside this apartments is strewn with garbage . miscreants dump garbage on either side of the entrance of the apartment.please help in clearing this and also to stop it from happening again.
